"station","latitude","longitude","elevation","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"SAM00040401",26.294,38.064,623,33.9,34.61,38.51,36.94,39.41,36.91,35.27,36.37,36.93,35.51,35.51,36.9,37.85,38.29
"SAM00040405",26.3,43.767,648,33.54,35.86,37.57,36.56,37.76,36.67,35.44,38,37.66,35.87,35.89,36.01,38.67,39.37
"SAM00040420",25.285,49.485,179.2,35.67,36.97,37.8,38.44,39.53,39.07,39.17,40.26,39.84,39.84,39.26,38.5,38.99,38.04
"SAM00040435",26.983,44.117,923,32.6,35.5,36.19,35.44,35.64,35.57,33.43,36.07,36.29,34.2,34.5,34.41,37.12,36.86
"SAM00040437",24.958,46.699,624.5,35.56,36.34,37.31,37.44,38.04,37.83,36.67,38.93,38.46,37.83,37.29,36.86,38.57,38.44
"SAM00040439",24.144,38.063,7.9,32.71,33.53,33.61,33.76,37.66,33.19,33.84,37.89,34.91,34.19,34.4,36.11,34.98,35.66
"SAM00041036",21.483,40.544,1477.7,28.54,30.9,32.47,31.49,32.51,31.24,29.09,32.13,30.99,29.3,27.7,28.01,29.87,28.84
"SAM00041055",20.296,41.634,1672.1,27.3,30.4,31.7,31.11,31.84,31.23,28.86,31.86,31.31,29.34,27.29,27.66,29.49,28.44
"SAM00041061",20.504,45.2,628.5,35.66,36.66,37.56,37.36,37.69,38.14,36.53,39.37,38.36,38.2,38.13,37.83,37.71,38.57
"SAM00041084",19.984,42.621,1184.8,31.56,34.27,34.7,34.51,34.43,35.06,33.11,35.9,35.61,33.71,32.5,32.47,34.09,34.13
"SAM00041112",18.24,42.657,2090.3,23.57,25.96,26.11,25.04,25.41,25.47,24.66,26.23,25.41,23.39,21.41,22.26,22.37,21.39
"SAM00041114",18.297,42.804,2065.9,24.27,26.34,26.5,25.74,26.47,26.23,24.83,26.91,26.24,23.91,22.1,22.83,23.33,22.7
"SAM00041128",17.611,44.419,1213.7,31.83,33.1,33.56,33.81,33.87,35.24,34.56,35.69,35.29,34.71,33.69,33.17,32.57,31.89
"SAM00041136",17.467,47.121,720.2,35.46,36.21,36.33,36.6,37.1,38.37,36.8,38.89,38.44,38.26,37.77,37.61,34.14,35.61
"SAM00041140",16.901,42.586,6.1,34.17,33.86,35.14,35.44,35.69,35.99,35.81,35.56,35.5,34.66,32.17,31.5,32.29,30.67
"SAW00032502",26.2833,50.15,25.3,33.97,36.21,35.7,35.9,37.46,37.51,38.16,39.34,39.03,38.53,37.49,36.19,37.28,36.24
"SE000063980",-4.667,55.517,3,29.1,28.87,28.9,28.14,28.13,27.33,27.21,26.89,26.77,26.67,26.46,26.71,26.55,26.77
"SU000062941",4.867,31.6,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZ000063756",-2.467,32.917,1140,24.04,24.13,24.74,23.61,23.31,22.87,23.2,23.11,23.27,22.09,22.31,22.91,22.95,23.69
"TZ000063832",-5.083,32.833,1182,23.81,23.63,22.8,21.91,22.2,21.24,22.66,22.99,23.24,23.2,22.91,23.63,23.97,23.27
"TZ000063862",-6.167,35.767,1120,23.01,22.71,22.73,21.29,21.16,21.07,21.99,21.31,21.86,22.27,21.7,21.97,22.35,21.83
"TZ000063894",-6.867,39.2,53,26.19,26.01,26.64,25.41,25.11,24.76,25.11,24.64,24.74,24.64,24.79,24.99,25.48,25.37
"TZ000063962",-10.667,35.583,1036,20.33,19.69,20.91,17.47,19.33,19.61,19.2,19.09,20.01,19.83,19.89,20.56,21.12,20.29
"TZ000063971",-10.267,40.183,113,25.7,25.49,25.44,24.37,25.1,25.2,24.49,24.39,24.56,23.96,24.33,24.07,24.75,24.69
"TZM00063870",-6.222,39.225,16.5,27.16,27.17,27.09,27.01,26.24,26.03,25.91,25.54,25.61,25.43,25.61,25.57,26.08,25.91
"ZA000067475",-10.217,31.133,1384,21.75,NA,NA,NA,NA,19.3,NA,NA,22.2,24,NA,NA,NA,NA
